ID,Instrument Name,Planet,Intended Target Name(s),Observation Start Time (YMDhms),Observation Duration (secs)
v1711536135_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T09:50:51.744,285.601
v1711536423_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T09:55:38.978,285.601
v1711536777_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:01:33.740,285.601
v1711537065_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:06:20.974,285.601
v1711537413_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:12:09.736,285.601
v1711537701_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:16:56.970,285.601
v1711538046_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:22:42.732,285.601
v1711538334_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:27:29.966,285.601
v1711538684_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:33:20.728,285.601
v1711538972_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:38:07.962,285.601
v1711539317_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:43:53.724,285.601
v1711539605_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:48:40.958,285.601
v1711539953_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:54:29.720,285.601
v1711540241_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T10:59:16.975,285.601
v1711540588_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:05:04.716,285.601
v1711540876_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:09:51.971,285.601
v1711541224_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:15:40.712,285.601
v1711541512_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:20:27.946,285.601
v1711541857_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:26:13.708,285.601
v1711542145_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:31:00.942,285.601
v1711542490_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:36:46.704,285.601
v1711542778_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:41:33.938,285.601
v1711543130_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:47:26.700,285.601
v1711543418_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:52:13.934,285.601
v1711543762_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T11:57:58.696,285.601
v1711544050_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:02:45.930,285.601
v1711544399_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:08:35.692,285.601
v1711544687_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:13:22.926,285.601
v1711545033_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:19:09.688,285.601
v1711545321_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:23:56.922,285.601
v1711545666_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:29:42.684,285.601
v1711545954_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:34:29.918,285.601
v1711546301_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:40:17.680,285.601
v1711546589_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:45:04.914,285.601
v1711546939_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:50:55.676,285.601
v1711547227_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T12:55:42.930,285.601
v1711547571_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:01:27.672,285.601
v1711547859_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:06:14.906,285.601
v1711548206_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:12:02.668,285.601
v1711548494_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:16:49.902,285.601
v1711548846_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:22:42.664,285.601
v1711549134_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:27:29.918,285.601
v1711549477_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:33:13.660,285.601
v1711549765_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:38:00.894,285.601
v1711550111_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:43:47.656,285.601
v1711550399_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:48:34.890,285.601
v1711550750_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:54:26.652,285.601
v1711551038_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T13:59:13.906,285.601
v1711551375_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:04:51.648,285.601
v1711551663_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:09:38.882,285.601
v1711552021_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:15:37.644,285.601
v1711552309_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:20:24.898,285.601
v1711552654_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:26:10.640,285.601
v1711552942_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:30:57.874,285.601
v1711553290_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:36:46.636,285.601
v1711553578_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:41:33.870,285.601
v1711553950_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:47:46.524,71.057
v1711554022_1,Cassini VIMS,Saturn,Enceladus,2012-03-27T14:48:58.075,71.056
