Orbit,encounter name,Date Time (UT)
3,E0,2005/02/17 03:30
4,E1,2005/03/09 09:08
11,E2,2005/07/14 19:55
61,E3,2008/03/12 19:06
80,E4,2008/08/11 21:06
88,E5,2008/10/09 19:06
91,E6,2008/10/31 17:14
120,E7,2009/11/02 07:41
121,E8,2009/11/21 02:09
130,E9,2010/04/28 00:10
131,E10,2010/05/18 06:04
136,E11,2010/08/13 22:31
141,E12,2010/11/30 11:53
142,E13,2010/12/21 01:08
154,E14,2011/10/01 13:52
155,E15,2011/10/19 09:23
156,E16,2011/11/06 04:59
163,E17,2012/03/27 18:29
164,E18,2012/04/14 14:00
165,E19,2012/05/02 09:31
223,E20,2015/10/14 10:41
224,E21,2015/10/28 15:22
228,E22,2015/12/19 17:48
